Gross_sales_amount,month,year
9092670.3392,9,2019
10378637.5961,10,2019
15231894.9669,11,2019
9755795.0577,12,2019
9584951.9393,1,2020
8083995.5479,2,2020
766976.4531,3,2020
800071.9543,4,2020
1586964.4768,5,2020
3429736.5712,6,2020
5151815.4020,7,2020
5638281.8287,8,2020
19530271.3028,9,2020
21016218.2095,10,2020
32247289.7946,11,2020
20409063.1769,12,2020
19570701.7102,1,2021
15986603.8883,2,2021
19149624.9239,3,2021
11483530.3032,4,2021
19204309.4095,5,2021
15457579.6626,6,2021
19044968.8164,7,2021
11324548.3409,8,2021
